disposition,ra,dec,st_pmra,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
2,157.098337,-51.705409,30.65,0.0,-33.906,0.056,-0.056,0.0,2458544.48066,0.00412,-0.00412,0,1.01606,0.00034,-0.00034,0,2.843,0.278,-0.278,0,240.0,0.375709,-0.375709,0,1.20704,0.0989898,-0.0989898,0,2784.04,2023.0,7.9059,0.006,-0.006,0,23.7748,0.02025,-0.02025,0,4634.0,120.9,-120.9,0,4.64,0.09,-0.09,0,0.68,0.05,-0.05,0
2,88.73909,-65.958839,-1.061654823059361,0.0,-9.084782819634704,0.21951769406392693,-0.21951769406392693,0.0,2458365.89313,0.00096,-0.00096,0,36.22214,0.00046,-0.00046,0,5.107,0.188,-0.188,0,7170.0,228.173,-228.173,0,10.37830827575075,1.481857536021982,-1.481857536021982,0,2199.2662033948973,1284.626968292529,6.841,0.0,0.0,0,475.97416882599276,20.01366261459135,-20.01366261459135,0,5801.67330950679,209.6249018177751,-209.6249018177751,0,4.305148136020152,0.1800801672260612,-0.1800801672260612,0,1.4046020899399398,0.07458443695733533,-0.07458443695733533,0
3,312.457488,-24.428694,10.426,0.0,15.62,0.051,-0.051,0.0,2458327.25256,0.000586,-0.000586,0,3.547854,0.000149,-0.000149,0,3.494333,0.049205,-0.049205,0,10424.3718,123.359314,-123.359314,0,14.581841,0.196435,-0.196435,0,1212.004376,1504.858953,11.5232,0.008,-0.008,0,411.211,7.752,-7.752,0,6351.0,209.6249018177751,-209.6249018177751,0,4.22896,0.1800801672260612,-0.1800801672260612,0,1.4,0.07458443695733533,-0.07458443695733533,0
2,155.831478,-57.590248,-26.184,0.0,22.489,1.073,-1.073,0.0,2460054.783937,0.000628,-0.000628,0,12.1246519,1.03e-05,-1.03e-05,0,4.612,0.667,-0.667,0,7279.0,6484.95,-6484.95,0,17.6729,2.59688,-2.59688,0,207.32,1057.0,9.5706,0.006,-0.006,0,78.41273,2.83992,-2.83992,0,4807.6,60.0,-60.0,0,4.17,0.36,-0.36,0,1.07,0.03,-0.03,0
2,140.88389,-67.026006,-23.901,0.0,3.03,0.047,-0.047,0.0,2459282.239861,0.002046,-0.002046,0,5.6496834,0.0008136,-0.0008136,0,2.5612882,0.407146,-0.407146,0,1194.3338558,103.68587,-103.68587,0,6.7892616,2.551151,-2.551151,0,1226.2203257,1509.2524073,9.7318,0.006,-0.006,0,270.771,1.6275,-1.6275,0,6415.4,103.2,-103.2,0,3.98,0.08,-0.08,0,1.9220001,0.0794221,-0.0794221,0
1,159.221506,-42.541639,-15.15,0.0,6.437,0.087,-0.087,0.0,2459283.828685,0.000897,-0.000897,0,5.6643704,1.09e-05,-1.09e-05,0,3.8087395,0.0887935,-0.0887935,0,3491.8232968,95.25267,-95.25267,0,14.7738943,0.7471176,-0.7471176,0,7657.6621505,2385.8536488,9.7611,0.006,-0.006,0,587.196,18.7865,-18.7865,0,10395.0,320.6,-320.6,0,4.13,0.07,-0.07,0,2.3383701,0.109357,-0.109357,0
2,87.282586,-60.498444,8.9,0.0,20.7,2.2,-2.2,0.0,2459179.54455,0.002126,-0.002126,0,29.0162503,0.0001146,-0.0001146,0,6.507,0.763,-0.763,0,1440.0,1.89359,-1.89359,0,9.84223,1.481857536021982,-1.481857536021982,0,159.189,1284.626968292529,10.0163,0.006,-0.006,0,219.94,20.01366261459135,-20.01366261459135,0,6113.1,209.6249018177751,-209.6249018177751,0,4.305148136020152,0.1800801672260612,-0.1800801672260612,0,2.01,0.07458443695733533,-0.07458443695733533,0
2,134.441752,-49.000578,-4.837,0.0,4.109,0.062,-0.062,0.0,2459283.337537,0.003484,-0.003484,0,3.6344692,0.0009773,-0.0009773,0,2.5339234,0.5744699,-0.5744699,0,628.699015,56.304756,-56.304756,0,4.2048368,2.1508167,-2.1508167,0,5420.178349,2188.3820499,9.8174,0.006,-0.006,0,363.44,4.983,-4.983,0,9810.0,173.7,-173.7,0,4.43,0.06,-0.06,0,1.60776,0.0427739,-0.0427739,0
1,144.150273,-61.583182,-9.506,0.0,16.897,0.207,-0.207,0.0,2459311.16903,0.001083,-0.001083,0,6.0742782,0.0002066,-0.0002066,0,2.5468064,0.0671077,-0.0671077,0,6039.9909482,123.96505,-123.96505,0,31.3717884,15.746507,-15.746507,0,1487.6197932,1583.9546259,10.1126,0.006,-0.006,0,347.556,13.63,-13.63,0,5964.0,128.4,-128.4,0,3.7,0.09,-0.09,0,2.4303801,0.151568,-0.151568,0
1,157.867112,-42.240448,10.992,0.0,-57.748,0.049,-0.049,0.0,2460037.172273,0.001095,-0.001095,0,3.7795212,4e-06,-4e-06,0,2.952,0.158,-0.158,0,2761.0,60.2474,-60.2474,0,5.98375,0.311897,-0.311897,0,466.528,1294.0,10.2855,0.006,-0.006,0,184.015,0.962,-0.962,0,5771.0,132.3,-132.3,0,4.31,0.08,-0.08,0,1.18,0.06,-0.06,0
